0,1000,
1000,41320,
2000,57460,
3000,44580,
4000,64070,
5000,99420,
6000,244440,
7000,107560,
8000,327930,
9000,341980,
10000,367500,
11000,147500,
12000,267090,
13000,365400,
14000,460760,
15000,322190,
16000,662110,
17000,521590,
18000,132530,
19000,36700,
20000,32480,
21000,704610,
22000,119390,
23000,837580,
24000,2115240,
25000,1974980,
26000,1319830,
27000,1116890,
28000,519720,
29000,660430,
30000,886300,
31000,254380,
32000,978780,
33000,285090,
34000,170100,
35000,148870,
36000,671050,
37000,809390,
38000,1821060,
39000,1660390,
40000,856650,
41000,819150,
42000,2081880,
43000,1931770,
44000,1486070,
45000,1412400,
46000,922150,
47000,727800,
48000,236940,
49000,683120,
50000,1183640,
51000,3291100,
52000,26420,
53000,2799860,
54000,724820,
55000,1715450,
56000,205620,
57000,1057390,
58000,1720570,
59000,1631220,
60000,958480,
61000,2514810,
62000,2601240,
63000,139150,
64000,1098990,
65000,938890,
66000,2372370,
67000,1739970,
68000,2519880,
69000,1924690,
70000,2531260,
71000,1742760,
72000,2198520,
73000,997510,
74000,1987280,
75000,778910,
76000,2281290,
77000,1620650,
78000,1502170,
79000,2033720,
80000,636410,
81000,2120180,
82000,789330,
83000,2331330,
84000,1282220,
85000,2499360,
86000,1504800,
87000,655600,
88000,2148700,
89000,1356300,
90000,2085430,
91000,89180,
92000,965360,
93000,185460,
94000,3713900,
95000,2413860,
96000,2009900,
97000,2419630,
98000,516270,
99000,2165610,
