0,380,50,
10000,470,70,
20000,320,100,
30000,450,120,
40000,430,180,
50000,800,130,
60000,730,100,
70000,470,130,
80000,560,70,
90000,690,100,
100000,480,100,
110000,450,110,
120000,500,160,
130000,1700,120,
140000,730,120,
150000,480,120,
160000,750,80,
170000,480,420,
180000,730,110,
190000,730,120,
200000,810,130,
210000,740,160,
220000,780,170,
230000,690,170,
240000,690,130,
250000,870,200,
260000,770,130,
270000,660,90,
280000,500,120,
290000,530,100,
300000,760,110,
310000,1030,340,
320000,670,150,
330000,500,130,
340000,790,150,
350000,800,130,
360000,510,160,
370000,920,80,
380000,760,150,
390000,1210,100,
400000,800,90,
410000,390,150,
420000,790,180,
430000,610,70,
440000,500,120,
450000,690,80,
460000,480,70,
470000,510,160,
480000,630,110,
490000,660,150,
500000,690,100,
510000,530,140,
520000,670,140,
530000,780,100,
540000,340,90,
550000,530,90,
560000,470,130,
570000,740,110,
580000,780,80,
590000,390,60,
600000,810,100,
610000,410,2270,
620000,520,100,
630000,900,100,
640000,360,70,
650000,500,70,
660000,410,140,
670000,420,60,
680000,410,110,
690000,410,100,
700000,530,80,
710000,370,70,
720000,580,80,
730000,360,100,
740000,400,70,
750000,310,70,
760000,320,50,
770000,420,90,
780000,320,50,
790000,430,140,
800000,340,210,
810000,310,70,
820000,330,50,
830000,310,70,
840000,330,70,
850000,400,50,
860000,470,70,
870000,330,80,
880000,370,60,
890000,290,50,
900000,360,60,
910000,290,50,
920000,280,90,
930000,340,50,
940000,570,50,
950000,310,50,
960000,300,60,
970000,280,50,
980000,280,60,
990000,290,50,
